FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
54,Delta,5850,ATL,SFO,09/01/2024 13:04,9/1/2024 13:28,09/01/2024 16:31,9/1/2024 15:57,-7,,True,False,Boeing 777,N94334,1441
55,United,460,LAX,JFK,09/01/2024 03:57,9/1/2024 4:20,09/01/2024 09:05,9/1/2024 7:27,30,Maintenance,True,False,Boeing 737,N55596,1659
56,Delta,7754,JFK,SFO,09/01/2024 10:33,9/1/2024 10:53,09/01/2024 15:24,9/1/2024 14:43,10,Weather,False,True,Boeing 737,N25887,779
57,United,1153,JFK,MIA,09/01/2024 09:35,9/1/2024 9:53,09/01/2024 13:57,9/1/2024 15:52,17,Air Traffic Control,False,False,Boeing 737,N74062,2021
58,Delta,5746,ATL,BOS,09/01/2024 13:50,9/1/2024 14:01,09/01/2024 19:54,9/1/2024 20:12,22,Air Traffic Control,False,True,Airbus A320,N53505,1394
59,United,5513,ORD,BOS,09/01/2024 10:53,9/1/2024 11:22,09/01/2024 13:13,9/1/2024 11:47,-6,,True,False,Airbus A320,N14512,1226
60,United,7504,ATL,JFK,09/01/2024 11:30,9/1/2024 11:48,09/01/2024 16:32,9/1/2024 15:39,9,Weather,True,False,Boeing 777,N67153,2797
61,Southwest,5346,JFK,BOS,09/01/2024 17:02,9/1/2024 17:15,09/01/2024 21:08,9/1/2024 20:59,-3,,False,True,Boeing 777,N62158,2704
62,United,1786,JFK,SEA,09/01/2024 03:50,9/1/2024 3:54,09/01/2024 09:56,9/1/2024 9:43,-7,,True,False,Boeing 737,N60952,1218
63,Southwest,9135,ATL,JFK,09/01/2024 13:45,9/1/2024 14:12,09/01/2024 15:38,9/1/2024 18:03,18,Maintenance,False,True,Airbus A320,N85803,2347
64,Southwest,7757,LAX,BOS,09/01/2024 22:38,9/1/2024 22:49,09/02/2024 01:21,9/2/2024 2:53,15,Maintenance,True,True,Boeing 737,N64188,371
65,American Airlines,3970,JFK,JFK,09/01/2024 21:12,9/1/2024 21:38,09/02/2024 01:29,9/2/2024 2:42,30,Weather,False,True,Boeing 737,N67524,1106
66,American Airlines,9246,JFK,MIA,09/01/2024 22:07,9/1/2024 22:33,09/02/2024 02:49,9/2/2024 1:27,20,Maintenance,False,False,Airbus A320,N28504,783
67,American Airlines,7380,ATL,MIA,09/01/2024 09:34,9/1/2024 9:35,09/01/2024 14:00,9/1/2024 10:36,2,Maintenance,False,True,Boeing 777,N75665,799
68,American Airlines,4341,LAX,SEA,09/01/2024 08:12,9/1/2024 8:25,09/01/2024 11:38,9/1/2024 13:17,5,Air Traffic Control,True,False,Airbus A320,N18683,789
69,Southwest,7820,ORD,JFK,09/01/2024 22:37,9/1/2024 22:49,09/02/2024 02:27,9/2/2024 4:38,1,Maintenance,True,True,Boeing 737,N32074,814
70,United,2685,JFK,SFO,09/01/2024 18:21,9/1/2024 18:24,09/01/2024 22:12,9/1/2024 19:43,22,Maintenance,False,True,Boeing 737,N48346,2209
71,Southwest,6462,LAX,MIA,09/01/2024 19:44,9/1/2024 20:12,09/02/2024 02:11,9/2/2024 2:06,22,Maintenance,True,True,Boeing 777,N96295,2288
72,Southwest,7298,JFK,JFK,09/01/2024 20:50,9/1/2024 21:04,09/02/2024 03:21,9/2/2024 1:08,18,Weather,False,True,Airbus A320,N17586,2135
73,Delta,6247,JFK,MIA,09/01/2024 20:04,9/1/2024 20:32,09/02/2024 02:35,9/2/2024 1:17,13,Weather,True,False,Boeing 777,N18039,2784
74,United,1309,LAX,SEA,09/01/2024 21:06,9/1/2024 21:27,09/02/2024 00:58,9/2/2024 2:20,14,Weather,True,True,Airbus A320,N15069,253
75,Southwest,4355,ORD,BOS,09/01/2024 21:03,9/1/2024 21:29,09/02/2024 03:16,9/1/2024 22:24,21,Maintenance,False,True,Boeing 777,N97514,2615
76,United,8875,ATL,SFO,09/01/2024 23:22,9/1/2024 23:32,09/02/2024 00:56,9/2/2024 3:43,21,Weather,True,False,Boeing 737,N29959,1253
77,United,2034,DFW,JFK,09/01/2024 01:02,9/1/2024 1:23,09/01/2024 02:15,9/1/2024 7:21,19,Weather,True,True,Boeing 777,N87230,1027
78,Southwest,8729,ORD,JFK,09/01/2024 14:26,9/1/2024 14:28,09/01/2024 21:05,9/1/2024 18:49,23,Maintenance,False,False,Boeing 737,N83915,1018
79,American Airlines,2180,LAX,JFK,09/01/2024 12:51,9/1/2024 13:00,09/01/2024 18:20,9/1/2024 16:56,5,Air Traffic Control,True,True,Boeing 737,N68629,556
80,American Airlines,6269,JFK,SEA,09/01/2024 16:18,9/1/2024 16:33,09/01/2024 17:27,9/1/2024 18:13,-5,,True,True,Boeing 737,N89287,356
81,United,1514,ORD,JFK,09/01/2024 23:48,9/1/2024 23:54,09/02/2024 04:58,9/2/2024 2:06,18,Maintenance,True,False,Boeing 737,N14977,570
82,American Airlines,4757,ATL,BOS,09/01/2024 19:49,9/1/2024 20:13,09/02/2024 00:55,9/2/2024 1:08,19,Maintenance,True,False,Boeing 737,N89939,2124
83,Southwest,7004,JFK,SEA,09/01/2024 01:45,9/1/2024 2:09,09/01/2024 07:59,9/1/2024 3:59,14,Air Traffic Control,False,True,Boeing 777,N53610,303
84,Delta,7129,JFK,BOS,09/01/2024 15:56,9/1/2024 16:04,09/01/2024 19:11,9/1/2024 21:24,28,Maintenance,False,True,Airbus A320,N42652,2925
85,Delta,8672,LAX,JFK,09/01/2024 00:47,9/1/2024 0:58,09/01/2024 06:21,9/1/2024 5:04,17,Air Traffic Control,True,True,Airbus A320,N66361,2582
86,Delta,6301,JFK,SEA,09/01/2024 17:31,9/1/2024 17:50,09/01/2024 19:35,9/2/2024 0:00,29,Air Traffic Control,True,True,Airbus A320,N16012,1209
87,Southwest,9145,JFK,MIA,09/01/2024 11:51,9/1/2024 12:11,09/01/2024 13:38,9/1/2024 16:43,-8,,False,True,Boeing 777,N86000,2108
88,Southwest,4824,JFK,SEA,09/01/2024 16:54,9/1/2024 17:11,09/01/2024 21:02,9/1/2024 21:12,18,Weather,False,False,Boeing 737,N64035,2831
89,Delta,6797,JFK,SEA,09/01/2024 02:32,9/1/2024 2:42,09/01/2024 04:03,9/1/2024 8:50,18,Maintenance,False,False,Boeing 777,N66704,1244
90,United,3903,JFK,SFO,09/01/2024 21:28,9/1/2024 21:41,09/02/2024 03:01,9/2/2024 1:28,0,,True,True,Airbus A320,N92639,1779
91,United,1831,ATL,BOS,09/01/2024 20:53,9/1/2024 21:11,09/02/2024 03:32,9/2/2024 2:51,-2,,True,False,Airbus A320,N56022,989
92,Southwest,8784,DFW,BOS,09/01/2024 13:44,9/1/2024 14:09,09/01/2024 16:14,9/1/2024 19:12,28,Weather,False,False,Boeing 737,N21233,1477
93,Delta,6119,ATL,JFK,09/01/2024 03:52,9/1/2024 4:01,09/01/2024 07:57,9/1/2024 9:10,18,Maintenance,True,False,Boeing 737,N80135,1740
94,Southwest,3484,JFK,JFK,09/01/2024 01:57,9/1/2024 2:25,09/01/2024 07:45,9/1/2024 4:17,20,Air Traffic Control,False,True,Airbus A320,N58706,1558
95,American Airlines,8839,DFW,SEA,09/01/2024 22:07,9/1/2024 22:25,09/02/2024 02:25,9/2/2024 2:30,23,Air Traffic Control,True,False,Boeing 737,N22976,2303
96,Delta,8531,JFK,BOS,09/01/2024 00:35,9/1/2024 0:50,09/01/2024 04:48,9/1/2024 2:49,14,Air Traffic Control,True,True,Boeing 777,N49477,794
97,American Airlines,1655,ATL,SFO,09/01/2024 11:57,9/1/2024 12:19,09/01/2024 14:01,9/1/2024 18:25,28,Weather,True,True,Airbus A320,N17550,2948
98,United,8925,ATL,JFK,09/01/2024 22:50,9/1/2024 22:55,09/02/2024 04:19,9/2/2024 4:09,19,Weather,True,True,Boeing 777,N44017,1436
99,Delta,5930,LAX,SEA,09/01/2024 08:47,9/1/2024 8:52,09/01/2024 14:11,9/1/2024 12:08,21,Maintenance,False,False,Boeing 777,N70967,2608
100,American Airlines,2066,ORD,MIA,09/01/2024 19:42,9/1/2024 19:42,09/01/2024 22:09,9/1/2024 22:33,-9,,False,True,Boeing 777,N18308,2977
101,Southwest,2336,ORD,MIA,09/01/2024 04:16,9/1/2024 4:40,09/01/2024 07:30,9/1/2024 5:24,8,Maintenance,True,False,Boeing 737,N91627,2598
102,Southwest,4400,ORD,BOS,09/01/2024 18:32,9/1/2024 19:01,09/01/2024 20:05,9/2/2024 0:55,23,Air Traffic Control,False,True,Boeing 777,N38109,832
103,Delta,1876,JFK,MIA,09/01/2024 23:45,9/2/2024 0:11,09/02/2024 06:23,9/2/2024 6:03,18,Maintenance,True,False,Boeing 777,N73397,1241
104,Southwest,9657,JFK,JFK,09/01/2024 21:46,9/1/2024 21:52,09/02/2024 03:08,9/2/2024 1:38,-8,,False,True,Boeing 737,N29011,780
105,United,9544,ATL,MIA,09/01/2024 00:55,9/1/2024 1:17,09/01/2024 05:18,9/1/2024 7:09,14,Air Traffic Control,False,False,Boeing 737,N38072,1526
106,Southwest,3438,LAX,JFK,09/01/2024 13:39,9/1/2024 13:46,09/01/2024 16:34,9/1/2024 19:59,20,Maintenance,False,True,Boeing 737,N63216,502
107,American Airlines,6768,DFW,SEA,09/01/2024 03:52,9/1/2024 4:02,09/01/2024 06:59,9/1/2024 7:56,4,Weather,True,True,Boeing 737,N56746,1525
108,Southwest,1332,JFK,SFO,09/01/2024 04:35,9/1/2024 4:49,09/01/2024 11:14,9/1/2024 6:05,30,Maintenance,True,True,Boeing 737,N66805,1435
109,United,5828,DFW,MIA,09/01/2024 04:44,9/1/2024 5:08,09/01/2024 09:12,9/1/2024 9:57,13,Weather,False,False,Boeing 777,N12722,1722
110,Southwest,4850,DFW,JFK,09/01/2024 05:15,9/1/2024 5:33,09/01/2024 11:18,9/1/2024 6:40,25,Weather,True,True,Airbus A320,N31732,1224
111,Southwest,4941,LAX,BOS,09/01/2024 03:39,9/1/2024 4:00,09/01/2024 08:14,9/1/2024 6:07,28,Weather,False,True,Boeing 737,N79619,1428
112,American Airlines,1850,ORD,JFK,09/01/2024 18:30,9/1/2024 18:53,09/01/2024 22:53,9/1/2024 20:22,-8,,False,True,Airbus A320,N60616,140
113,American Airlines,4728,DFW,MIA,09/01/2024 04:18,9/1/2024 4:25,09/01/2024 06:54,9/1/2024 7:12,-6,,True,False,Airbus A320,N31314,2465
114,United,2334,ATL,MIA,09/01/2024 06:44,9/1/2024 7:11,09/01/2024 08:26,9/1/2024 10:59,15,Air Traffic Control,False,False,Boeing 777,N36204,650
115,American Airlines,6764,DFW,SEA,09/01/2024 23:32,9/1/2024 23:34,09/02/2024 02:34,9/2/2024 0:33,1,Weather,True,False,Airbus A320,N11701,2571
116,Southwest,8765,ATL,SEA,09/01/2024 13:23,9/1/2024 13:50,09/01/2024 19:48,9/1/2024 15:40,17,Maintenance,True,False,Airbus A320,N99933,715
117,Southwest,33,LAX,BOS,09/01/2024 01:01,9/1/2024 1:22,09/01/2024 05:12,9/1/2024 5:27,26,Air Traffic Control,True,False,Boeing 777,N94080,2707
118,Delta,3914,ORD,JFK,09/01/2024 14:02,9/1/2024 14:31,09/01/2024 19:51,9/1/2024 17:20,18,Air Traffic Control,False,False,Boeing 777,N78517,2349
119,Southwest,3789,ORD,SFO,09/01/2024 16:24,9/1/2024 16:42,09/01/2024 22:44,9/1/2024 18:28,4,Weather,False,False,Airbus A320,N10311,820
120,Delta,8426,ATL,BOS,09/01/2024 05:46,9/1/2024 6:15,09/01/2024 08:36,9/1/2024 7:46,0,,False,False,Airbus A320,N50456,1253
121,Southwest,9278,JFK,BOS,09/01/2024 05:16,9/1/2024 5:25,09/01/2024 10:58,9/1/2024 8:10,-6,,True,True,Boeing 777,N14605,823
122,United,4889,ATL,JFK,09/01/2024 05:12,9/1/2024 5:41,09/01/2024 10:58,9/1/2024 11:15,3,Air Traffic Control,True,False,Boeing 737,N80232,2714
123,Delta,3422,ORD,SEA,09/01/2024 18:42,9/1/2024 18:53,09/02/2024 00:40,9/1/2024 21:48,6,Weather,False,True,Boeing 737,N74337,845
124,American Airlines,4511,ATL,BOS,09/01/2024 19:36,9/1/2024 19:49,09/02/2024 00:00,9/2/2024 1:04,28,Air Traffic Control,False,False,Boeing 777,N30599,1294
125,Delta,7691,LAX,JFK,09/01/2024 05:33,9/1/2024 5:47,09/01/2024 07:06,9/1/2024 6:37,4,Maintenance,False,True,Airbus A320,N12230,2180
126,United,4118,ORD,SFO,09/01/2024 09:07,9/1/2024 9:14,09/01/2024 10:51,9/1/2024 15:07,0,,False,True,Boeing 777,N98141,2627
127,Southwest,8075,DFW,SFO,09/01/2024 06:28,9/1/2024 6:51,09/01/2024 10:10,9/1/2024 10:38,10,Air Traffic Control,True,False,Boeing 777,N34176,1392
128,Delta,3917,DFW,JFK,09/01/2024 12:07,9/1/2024 12:14,09/01/2024 15:21,9/1/2024 13:57,-10,,True,True,Airbus A320,N37448,1251
129,Delta,9761,DFW,BOS,09/01/2024 23:51,9/2/2024 0:04,09/02/2024 01:43,9/2/2024 3:01,10,Air Traffic Control,True,False,Boeing 777,N92973,2357
130,Delta,9534,LAX,MIA,09/01/2024 22:11,9/1/2024 22:41,09/01/2024 23:36,9/2/2024 2:01,-10,,True,False,Airbus A320,N38563,2086
131,American Airlines,7933,JFK,BOS,09/01/2024 19:47,9/1/2024 19:54,09/01/2024 23:16,9/1/2024 20:53,6,Weather,False,False,Boeing 777,N97246,1120
132,United,7915,JFK,BOS,09/01/2024 21:37,9/1/2024 22:07,09/02/2024 02:14,9/1/2024 22:56,19,Maintenance,False,False,Boeing 737,N13555,344
133,Southwest,7983,ATL,SEA,09/01/2024 13:30,9/1/2024 13:42,09/01/2024 15:26,9/1/2024 18:23,-7,,True,False,Boeing 737,N30659,2825
134,Delta,854,ATL,BOS,09/01/2024 17:20,9/1/2024 17:50,09/01/2024 19:32,9/1/2024 21:33,13,Air Traffic Control,True,False,Airbus A320,N13820,946
135,Delta,4491,LAX,MIA,09/01/2024 04:20,9/1/2024 4:26,09/01/2024 05:31,9/1/2024 8:20,0,,True,True,Boeing 737,N10023,1458
136,United,2095,ORD,JFK,09/01/2024 10:35,9/1/2024 11:02,09/01/2024 14:35,9/1/2024 16:01,26,Air Traffic Control,False,False,Boeing 737,N79938,2785
137,American Airlines,2859,ORD,BOS,09/01/2024 15:28,9/1/2024 15:34,09/01/2024 16:33,9/1/2024 20:37,9,Maintenance,True,True,Boeing 737,N22221,2891
138,Southwest,2960,ORD,BOS,09/01/2024 05:32,9/1/2024 5:39,09/01/2024 11:38,9/1/2024 8:49,17,Weather,True,False,Boeing 777,N21946,1387
139,American Airlines,3931,JFK,SFO,09/01/2024 15:35,9/1/2024 15:44,09/01/2024 18:15,9/1/2024 21:56,21,Maintenance,True,False,Airbus A320,N83429,1691
140,American Airlines,8994,ATL,SFO,09/01/2024 06:38,9/1/2024 7:06,09/01/2024 13:12,9/1/2024 11:58,20,Weather,True,True,Airbus A320,N26793,1400
141,Southwest,3347,ORD,SEA,09/01/2024 19:01,9/1/2024 19:09,09/01/2024 23:29,9/1/2024 20:23,22,Maintenance,True,False,Boeing 777,N42961,2918
142,Southwest,2558,JFK,SFO,09/01/2024 03:00,9/1/2024 3:30,09/01/2024 08:35,9/1/2024 5:20,20,Weather,True,False,Boeing 777,N80204,868
143,United,532,DFW,MIA,09/01/2024 01:13,9/1/2024 1:41,09/01/2024 07:37,9/1/2024 2:05,-8,,False,False,Boeing 777,N74578,2118
144,Delta,4725,ORD,BOS,09/01/2024 20:42,9/1/2024 20:57,09/02/2024 02:03,9/2/2024 0:03,21,Maintenance,True,False,Boeing 737,N36572,1151
145,American Airlines,8976,LAX,BOS,09/01/2024 11:57,9/1/2024 12:15,09/01/2024 15:29,9/1/2024 16:12,15,Air Traffic Control,True,False,Boeing 777,N50897,2882
146,Southwest,274,LAX,SFO,09/01/2024 06:47,9/1/2024 7:02,09/01/2024 10:43,9/1/2024 8:57,10,Weather,True,False,Boeing 737,N44846,2432
147,American Airlines,7201,JFK,BOS,09/01/2024 11:39,9/1/2024 11:52,09/01/2024 16:32,9/1/2024 14:36,-3,,True,False,Airbus A320,N30178,2661
148,Delta,3548,ATL,SEA,09/01/2024 10:02,9/1/2024 10:04,09/01/2024 16:59,9/1/2024 15:22,20,Maintenance,True,True,Boeing 777,N35341,1462
149,American Airlines,4109,DFW,JFK,09/01/2024 22:54,9/1/2024 23:15,09/02/2024 04:43,9/2/2024 5:24,30,Weather,True,True,Airbus A320,N94457,1870
150,Delta,1693,ATL,SFO,09/01/2024 18:10,9/1/2024 18:11,09/02/2024 00:25,9/1/2024 22:12,2,Maintenance,True,False,Boeing 777,N36540,1262
151,Delta,1728,DFW,BOS,09/01/2024 00:37,9/1/2024 0:59,09/01/2024 04:32,9/1/2024 2:59,22,Maintenance,True,True,Boeing 777,N43533,1009
152,Southwest,3028,ATL,BOS,09/01/2024 04:36,9/1/2024 4:39,09/01/2024 11:00,9/1/2024 10:58,22,Air Traffic Control,True,True,Boeing 737,N58273,1690
153,Southwest,5170,DFW,SEA,09/01/2024 16:04,9/1/2024 16:32,09/01/2024 17:51,9/1/2024 19:34,30,Air Traffic Control,False,False,Boeing 737,N23757,874
154,Delta,4879,LAX,BOS,09/01/2024 14:19,9/1/2024 14:32,09/01/2024 20:57,9/1/2024 16:19,0,,True,False,Boeing 737,N69895,1808
155,Delta,1334,ORD,SEA,09/01/2024 08:07,9/1/2024 8:19,09/01/2024 09:31,9/1/2024 14:02,-5,,True,False,Airbus A320,N19557,2995
156,Southwest,4425,DFW,SFO,09/01/2024 20:52,9/1/2024 20:58,09/01/2024 22:30,9/1/2024 23:17,25,Maintenance,True,True,Boeing 737,N24401,2828
157,American Airlines,2939,LAX,BOS,09/01/2024 09:09,9/1/2024 9:39,09/01/2024 14:37,9/1/2024 14:26,17,Maintenance,False,True,Airbus A320,N35132,179
158,Delta,5484,ATL,SFO,09/01/2024 14:01,9/1/2024 14:16,09/01/2024 19:07,9/1/2024 15:21,20,Weather,True,True,Boeing 737,N43623,1721
159,United,5320,ORD,JFK,09/01/2024 19:09,9/1/2024 19:22,09/01/2024 22:31,9/2/2024 0:38,29,Weather,True,True,Airbus A320,N81630,346
